Title,Release,BPM,ENERGY,DANCE,LOUD,VALENCE
Sanguine Paradise,2019-04-09,0.65,0.11,0.63,0.43,-1.20
Clout (feat. Cardi B),2019-02-22,0.82,0.19,1.76,0.43,-0.30
Suge,2019-03-01,-1.43,0.36,1.52,0.63,1.52
That's a Rack,2019-04-09,0.82,-0.60,1.35,0.24,-0.99
Homicide,2019-05-03,0.82,0.78,0.57,0.63,1.35
Swervin (feat. 6ix9ine),2018-12-21,-0.81,0.36,-0.27,0.83,-0.25
Floating (feat. 21 Savage),2019-04-26,0.82,-0.10,1.70,0.83,0.22
MIDDLE CHILD,2019-01-23,0.26,-0.89,1.29,-0.56,-0.12
Pure Water (with Migos),2019-01-16,2.96,-0.06,0.33,0.63,-1.51
Faucet Failure,2018-11-30,-0.56,-0.10,1.88,0.04,0.57
Envy Me,2018-12-13,1.13,-0.39,-0.39,0.24,0.40
Pop Out (feat. Lil Tjay),2019-02-07,-1.12,0.19,1.41,0.43,-1.03
Feeling,2019-03-08,1.51,-0.22,0.51,0.63,0.31
Red Room,2019-02-14,-0.15,-0.06,1.88,0.04,0.14
Going Bad (feat. Drake),2018-11-30,-1.05,-0.31,1.58,0.63,0.22
Legacy (feat. Travis Scott & 21 Savage),2019-02-22,0.40,-0.27,1.29,0.04,-0.64
Go Loko,2019-05-03,-0.53,0.40,1.52,0.83,-1.51
Shotta Flow,2019-01-17,0.13,-0.60,1.58,0.43,-0.17
Mixed Personalities (feat. Kanye West),2019-01-18,1.16,-0.56,0.21,0.04,-0.60
a lot,2018-12-21,1.03,0.28,1.29,0.24,-0.94
Goddamn (feat. A Boogie wit da Hoodie),2019-04-15,-0.39,-0.01,1.94,0.63,-0.30
Make Believe,2019-03-08,-1.12,1.11,-0.93,1.03,0.79
"West Coast (feat. Blueface, ALLBLACK & YG)",2019-03-28,-0.63,0.86,1.52,0.83,1.39
Wow. - Remix,2019-03-15,-0.56,0.28,1.05,0.63,0.01
CHopstix (with Travis Scott),2019-04-08,0.40,0.11,2.00,0.43,0.53
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",2019-04-24,0.13,0.65,0.99,1.03,-1.25
Slide (feat. Blueface & Lil Tjay),2019-04-16,-0.70,0.53,-0.57,1.03,0.44
Put a Date On It (feat. Lil Baby),2019-01-25,0.47,0.36,1.29,0.63,0.40
Act Up,2018-11-16,-0.67,0.28,1.88,0.83,-0.77
Light It Up,2019-04-25,-0.56,0.24,1.11,1.03,0.48
Triggered (freestyle),2019-05-08,-0.94,-0.68,-0.93,0.04,-0.56
Come Closer (feat. Queen Naija),2018-12-21,0.82,-0.06,0.69,0.43,0.57
24/7 (feat. Ella Mai),2018-11-30,-1.01,0.57,0.21,0.83,-0.51
RPG (feat. 6lack),2019-02-22,0.58,-0.18,0.81,0.43,1.00
Imported (with 6LACK),2019-04-09,-0.18,0.28,0.63,1.03,-0.56
Good To Ya (feat. Ty Dolla $ign),2019-03-29,-0.70,0.28,0.45,1.03,0.18
Chi Chi (feat. Chris Brown),2019-02-04,-0.22,-0.10,0.69,0.63,-0.90
Lies (feat. Ty Dolla $ign & YG),2019-04-26,-0.77,-0.31,0.93,0.63,-1.16
Please Me,2019-02-15,0.61,-0.01,0.75,0.43,0.70
Nowhere To Run,2019-03-22,2.30,0.32,0.57,0.63,1.00
Feelings (feat. H.E.R.),2019-03-15,0.30,0.65,-0.75,0.63,-0.73
Honesty,2018-10-12,-1.26,-1.56,-0.03,-0.36,-0.30
Pretty Little Fears (feat. J. Cole),2018-09-14,2.61,-0.43,-0.09,-0.36,-1.16
Hope You’re Happy,2019-05-03,-1.26,-0.06,-0.03,0.43,-0.81
Waves (feat. 6LACK),2018-11-15,-1.29,0.07,-0.27,0.83,-0.81
You (Remix feat. Rick Ross),2019-04-12,2.06,0.36,-1.59,0.43,-0.69
Girls Need Love (with Drake) - Remix,2019-02-10,-0.67,-0.60,0.21,0.04,-1.72
Shea Butter Baby (with J. Cole),2018-11-16,1.34,0.15,0.45,1.03,-1.90
Locationships,2019-01-28,0.68,-0.39,0.57,0.04,0.87
Could've Been (feat. Bryson Tiller),2018-08-03,-0.43,-1.02,-0.45,-0.56,-0.38
Ecstasy (feat. Jeremih),2019-01-25,-0.43,-0.52,1.58,0.24,0.66
Fallin' (feat. Russ),2018-12-14,0.82,-0.52,0.39,1.03,-1.25
Roll Some Mo,2018-10-24,-1.43,-0.27,-1.29,0.04,-0.51
Distant,2018-11-17,1.44,-0.01,-1.53,-0.56,0.01
FYT (feat. French Montana),2018-10-26,-0.94,-0.52,0.09,0.04,0.27
Better,2018-10-19,-0.63,0.07,0.45,-0.16,-1.64
Fear Not Of Man,1999-10-12,-0.63,1.07,0.93,0.43,1.87
Hip Hop,1999-10-12,-0.91,1.20,-0.21,0.83,1.31
